command,delta_eps0.5_codebook_cosine_s0,delta_eps0.5_codebook_cosine_s1,delta_eps0.5_codebook_cosine_s2,delta_eps0.5_codebook_l2_s0,delta_eps0.5_codebook_l2_s1,delta_eps0.5_codebook_l2_s2,delta_eps0.5_pixel_mae_s0,delta_eps0.5_pixel_mae_s1,delta_eps0.5_pixel_mae_s2,delta_eps1_codebook_cosine_s0,delta_eps1_codebook_cosine_s1,delta_eps1_codebook_cosine_s2,delta_eps1_codebook_l2_s0,delta_eps1_codebook_l2_s1,delta_eps1_codebook_l2_s2,delta_eps1_pixel_mae_s0,delta_eps1_pixel_mae_s1,delta_eps1_pixel_mae_s2,delta_eps2_codebook_cosine_s0,delta_eps2_codebook_cosine_s1,delta_eps2_codebook_cosine_s2,delta_eps2_codebook_l2_s0,delta_eps2_codebook_l2_s1,delta_eps2_codebook_l2_s2,delta_eps2_pixel_mae_s0,delta_eps2_pixel_mae_s1,delta_eps2_pixel_mae_s2,delta_eps3_codebook_cosine_s0,delta_eps3_codebook_cosine_s1,delta_eps3_codebook_cosine_s2,delta_eps3_codebook_l2_s0,delta_eps3_codebook_l2_s1,delta_eps3_codebook_l2_s2,delta_eps3_pixel_mae_s0,delta_eps3_pixel_mae_s1,delta_eps3_pixel_mae_s2,eps0.5_codebook_cosine_s0,eps0.5_codebook_cosine_s1,eps0.5_codebook_cosine_s2,eps0.5_codebook_l2_s0,eps0.5_codebook_l2_s1,eps0.5_codebook_l2_s2,eps0.5_pixel_mae_s0,eps0.5_pixel_mae_s1,eps0.5_pixel_mae_s2,eps1_codebook_cosine_s0,eps1_codebook_cosine_s1,eps1_codebook_cosine_s2,eps1_codebook_l2_s0,eps1_codebook_l2_s1,eps1_codebook_l2_s2,eps1_pixel_mae_s0,eps1_pixel_mae_s1,eps1_pixel_mae_s2,eps2_codebook_cosine_s0,eps2_codebook_cosine_s1,eps2_codebook_cosine_s2,eps2_codebook_l2_s0,eps2_codebook_l2_s1,eps2_codebook_l2_s2,eps2_pixel_mae_s0,eps2_pixel_mae_s1,eps2_pixel_mae_s2,eps3_codebook_cosine_s0,eps3_codebook_cosine_s1,eps3_codebook_cosine_s2,eps3_codebook_l2_s0,eps3_codebook_l2_s1,eps3_codebook_l2_s2,eps3_pixel_mae_s0,eps3_pixel_mae_s1,eps3_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,plan_ok,sample_token,scene
straight,0.05157,-0.07541,0.04033,0.54088,-1.01294,0.50507,0.00544,0.00518,0.00124,-0.0916,-0.18715,-0.00674,-1.11539,-2.83874,0.27661,-6e-05,-0.03829,-0.00067,0.07733,-0.05445,-0.02556,1.11185,-0.82595,-0.03118,0.00059,-0.00765,0.00564,0.01101,-0.10305,-0.02936,0.1331,-1.4713,-0.04332,0.00257,-0.01251,0.00429,0.68449,0.74412,0.70018,15.83709,18.929,16.7016,0.08537,0.16088,0.07382,0.54132,0.63238,0.65311,14.18082,17.10319,16.47314,0.07987,0.11741,0.07191,0.71024,0.76509,0.63429,16.40807,19.11598,16.16535,0.08053,0.14805,0.07822,0.64393,0.71649,0.63049,15.42932,18.47063,16.15321,0.08251,0.1432,0.07687,0.63292,0.81954,0.65985,15.29622,19.94193,16.19653,0.07994,0.1557,0.07258,False,5c561271e7f64c42bad8343eb42043e4,scene-0017
straight,0.00577,-0.02866,-0.01298,-0.01883,-1.13987,-0.55763,0.00052,-0.03379,-0.00099,-0.07714,-0.06376,0.01491,-1.40713,-1.05467,0.36242,-0.01258,-0.01294,0.00997,0.01735,0.03281,0.01218,0.06848,-0.24012,0.06853,-0.00358,-0.03747,0.01384,0.0401,-0.01818,0.00211,0.39639,-0.73617,0.21994,-0.00212,-0.03079,0.01648,0.66636,0.59821,0.60103,16.22345,16.09043,15.29358,0.09774,0.07634,0.07102,0.58345,0.56311,0.62893,14.83514,16.17562,16.21363,0.08464,0.09719,0.08198,0.67795,0.65968,0.6262,16.31075,16.99017,15.91974,0.09364,0.07266,0.08585,0.7007,0.60869,0.61613,16.63867,16.49412,16.07115,0.0951,0.07934,0.08848,0.6606,0.62687,0.61401,16.24228,17.23029,15.85121,0.09722,0.11013,0.072,False,ddff867e8f5944869c55dfeca2151ba8,scene-0017
straight,-0.07541,0.04033,-0.0806,-1.01294,0.50507,-1.23803,0.00518,0.00124,-0.00774,-0.18715,-0.00674,0.01062,-2.83874,0.27661,0.37114,-0.03829,-0.00067,-0.00012,-0.05664,-0.02556,0.03931,-0.89113,-0.03118,1.61356,-0.00152,0.00564,0.03358,-0.10305,-0.02936,0.05298,-1.4713,-0.04332,1.292,-0.01251,0.00429,0.02302,0.74412,0.70018,0.49973,18.929,16.7016,13.72648,0.16088,0.07382,0.06791,0.63238,0.65311,0.59095,17.10319,16.47314,15.33565,0.11741,0.07191,0.07553,0.7629,0.63429,0.61964,19.05081,16.16535,16.57808,0.15419,0.07822,0.10923,0.71649,0.63049,0.63331,18.47063,16.15321,16.25651,0.1432,0.07687,0.09868,0.81954,0.65985,0.58033,19.94193,16.19653,14.96451,0.1557,0.07258,0.07565,False,40847c1f1fd34cf2bdf278782dba841a,scene-0017
straight,0.09859,-0.01298,-0.08789,1.0664,-0.55763,-0.99528,-0.00193,-0.00099,-0.00362,-0.07001,0.01491,0.04147,-1.84944,0.36242,0.49746,-0.03723,0.00997,-0.00272,-0.00928,0.01218,0.14072,-1.00323,0.06853,2.43652,-0.03946,0.01384,0.01205,-0.01818,0.00211,0.13144,-0.73617,0.21994,2.40581,-0.03079,0.01648,0.01278,0.72546,0.60103,0.42553,18.2967,15.29358,12.58353,0.1082,0.07102,0.06347,0.55685,0.62893,0.55489,15.38085,16.21363,14.07627,0.0729,0.08198,0.06437,0.61758,0.6262,0.65413,16.22707,15.91974,16.01532,0.07067,0.08585,0.07914,0.60869,0.61613,0.64486,16.49412,16.07115,15.98462,0.07934,0.08848,0.07987,0.62687,0.61401,0.51342,17.23029,15.85121,13.5788,0.11013,0.072,0.06709,False,3adeaa8b4f5f4b32a361534424ec6c71,scene-0017
straight,-0.04283,-0.0806,-0.01635,-0.81878,-1.23803,-0.29566,-0.01341,-0.00774,0.01276,0.01445,0.01062,-0.2462,0.35328,0.37114,-3.88539,-0.00528,-0.00012,-0.01293,-0.02559,0.03931,-0.08427,0.41754,1.61356,-1.57777,0.0218,0.03358,-0.0102,0.00523,0.05298,-0.09357,0.28042,1.292,-1.61023,-0.00132,0.02302,-0.01049,0.59583,0.49973,0.69729,15.30108,13.72648,16.23213,0.06378,0.06791,0.08279,0.65311,0.59095,0.46744,16.47314,15.33565,12.6424,0.07191,0.07553,0.0571,0.61307,0.61964,0.62936,16.53741,16.57808,14.95003,0.09899,0.10923,0.05983,0.64389,0.63331,0.62007,16.40028,16.25651,14.91756,0.07587,0.09868,0.05954,0.63866,0.58033,0.71363,16.11986,14.96451,16.52779,0.07719,0.07565,0.07003,False,6413a3e27b664997a08f7a0b82667d06,scene-0017
straight,0.00076,-0.08789,0.01476,0.01724,-0.99528,-0.02168,0.00509,-0.00362,-0.00504,-0.00393,0.04147,0.11353,0.04219,0.49746,1.23591,-0.00208,-0.00272,0.01251,-0.00851,0.14072,-0.02448,0.0142,2.43652,-0.69129,0.00823,0.01205,-0.01556,-0.00013,0.13144,-0.03953,0.0942,2.40581,-0.62872,0.01062,0.01278,-0.01035,0.63006,0.42553,0.61785,15.88694,12.58353,15.17967,0.08107,0.06347,0.0691,0.62536,0.55489,0.71662,15.91188,14.07627,16.43725,0.07391,0.06437,0.08665,0.62079,0.65413,0.57861,15.8839,16.01532,14.51006,0.08421,0.07914,0.05859,0.62916,0.64486,0.56356,15.96389,15.98462,14.57262,0.0866,0.07987,0.06379,0.6293,0.51342,0.60309,15.86969,13.5788,15.20134,0.07598,0.06709,0.07414,False,6609fa8733f14987ab840f3467c609e3,scene-0017
straight,-0.10068,-0.01635,0.02408,-1.56923,-0.29566,0.76684,-0.00404,0.01276,0.03707,0.08653,-0.2462,0.01845,2.21324,-3.88539,1.09774,0.03856,-0.01293,0.04304,0.06688,-0.08427,-0.09128,2.43615,-1.57777,-1.18844,0.05179,-0.0102,-0.00057,0.06357,-0.09357,-0.08876,1.74233,-1.61023,-1.14755,0.02628,-0.01049,0.00117,0.47082,0.69729,0.68597,13.16422,16.23213,16.13732,0.06373,0.08279,0.09291,0.65803,0.46744,0.68034,16.94669,12.6424,16.46823,0.10633,0.0571,0.09888,0.63838,0.62936,0.5706,17.1696,14.95003,14.18204,0.11957,0.05983,0.05526,0.63507,0.62007,0.57312,16.47578,14.91756,14.22293,0.09405,0.05954,0.05701,0.5715,0.71363,0.66188,14.73345,16.52779,15.37048,0.06777,0.07003,0.05584,False,ef03db0d15d241bf98a72fcdb87989e2,scene-0017
straight,-0.09381,0.01476,-0.04439,-1.81675,-0.02168,0.04532,-0.00249,-0.00504,0.02019,0.06426,0.11353,0.05989,0.52147,1.23591,0.91016,0.007,0.01251,0.03781,0.00477,-0.02448,-0.25168,-0.18351,-0.69129,-3.51445,0.00807,-0.01556,-0.01661,0.00503,-0.03953,-0.28395,-0.15627,-0.62872,-4.09341,0.01195,-0.01035,-0.01788,0.54508,0.61785,0.6844,14.33334,15.17967,15.8985,0.06757,0.0691,0.09085,0.70315,0.71662,0.78867,16.67157,16.43725,16.76335,0.07706,0.08665,0.10848,0.64365,0.57861,0.47711,15.96658,14.51006,12.33874,0.07813,0.05859,0.05405,0.64392,0.56356,0.44483,15.99383,14.57262,11.75978,0.08201,0.06379,0.05278,0.63889,0.60309,0.72879,16.15009,15.20134,15.85319,0.07006,0.07414,0.07067,False,fbac9771eca241c4b18c195395d64e22,scene-0017
straight,-0.02476,0.02408,0.04353,-0.41566,0.76684,0.50651,0.01312,0.03707,0.0104,-0.10825,0.01845,0.09698,-1.39253,1.09774,1.68544,-0.01084,0.04304,0.02823,-0.04735,-0.09128,-0.11634,-1.03685,-1.18844,-1.69826,-0.00714,-0.00057,-0.00219,-0.04338,-0.08876,-0.10561,-0.87536,-1.14755,-1.6636,-0.0069,0.00117,-0.00185,0.6586,0.68597,0.58529,15.67853,16.13732,14.03367,0.08047,0.09291,0.06933,0.57511,0.68034,0.63874,14.70166,16.46823,15.21259,0.05651,0.09888,0.08715,0.63601,0.5706,0.42543,15.05734,14.18204,11.8289,0.06021,0.05526,0.05674,0.63999,0.57312,0.43616,15.21883,14.22293,11.86355,0.06045,0.05701,0.05707,0.68336,0.66188,0.54177,16.09419,15.37048,13.52716,0.06735,0.05584,0.05893,False,ef661945febb4f4b9f11bea17dd55c63,scene-0017
straight,-0.00086,-0.04439,0.1653,-0.75479,0.04532,3.26539,-0.0078,0.02019,0.03538,0.11353,0.05989,-0.07525,1.23591,0.91016,-1.2231,0.01251,0.03781,-0.00397,-0.02448,-0.25168,-0.0446,-0.69129,-3.51445,-0.28468,-0.01556,-0.01661,0.0022,-0.00028,-0.28395,-0.00801,-0.51009,-4.09341,-0.19137,-0.02134,-0.01788,0.00243,0.60223,0.6844,0.64298,14.44655,15.8985,15.35732,0.06635,0.09085,0.09463,0.71662,0.78867,0.40243,16.43725,16.76335,10.86882,0.08665,0.10848,0.05528,0.57861,0.47711,0.43308,14.51006,12.33874,11.80725,0.05859,0.05405,0.06144,0.6028,0.44483,0.46966,14.69125,11.75978,11.90056,0.0528,0.05278,0.06168,0.60309,0.72879,0.47768,15.20134,15.85319,12.09193,0.07414,0.07067,0.05925,False,f274b48b3f8245669f97556d66ce468b,scene-0017
straight,0.0321,0.04353,0.09297,0.91046,0.50651,1.89746,0.03539,0.0104,0.01431,0.05777,0.09698,-0.03042,1.20548,1.68544,-0.19885,0.02808,0.02823,0.00489,-0.08326,-0.11634,0.06664,-1.04482,-1.69826,1.47897,-0.00226,-0.00219,0.01566,-0.06384,-0.10561,0.05107,-0.7807,-1.6636,1.72492,-0.00364,-0.00185,0.0273,0.68597,0.58529,0.56033,16.13732,14.03367,13.9571,0.09291,0.06933,0.06443,0.71163,0.63874,0.43694,16.43234,15.21259,11.8608,0.0856,0.08715,0.05501,0.5706,0.42543,0.534,14.18204,11.8289,13.53862,0.05526,0.05674,0.06578,0.59002,0.43616,0.51843,14.44616,11.86355,13.78456,0.05388,0.05707,0.07741,0.65386,0.54177,0.46736,15.22686,13.52716,12.05965,0.05752,0.05893,0.05012,False,dd8165825b8e4514aafd5b92fd9a3d6e,scene-0017
straight,0.27683,0.1653,0.18067,3.95726,3.26539,3.34293,0.0399,0.03538,0.02566,0.17325,-0.07525,0.03339,2.91803,-1.2231,0.54848,0.0291,-0.00397,0.00222,-0.0451,-0.0446,0.04227,-0.75066,-0.28468,0.83095,0.00272,0.0022,0.00459,-0.0472,-0.00801,0.04057,-0.86012,-0.19137,0.58638,0.00219,0.00243,0.00389,0.7693,0.64298,0.64533,16.78024,15.35732,15.60036,0.09118,0.09463,0.08276,0.66571,0.40243,0.49805,15.74102,10.86882,12.80591,0.08038,0.05528,0.05932,0.44736,0.43308,0.50693,12.07233,11.80725,13.08838,0.054,0.06144,0.0617,0.44526,0.46966,0.50522,11.96287,11.90056,12.84381,0.05347,0.06168,0.061,0.49246,0.47768,0.46466,12.82299,12.09193,12.25743,0.05128,0.05925,0.05711,False,603304c79ec14a318fdb1c896b8aa43f,scene-0017
straight,0.12891,0.09297,0.12221,2.02273,1.89746,2.1905,0.01245,0.01431,0.02726,-0.05057,-0.03042,0.01092,-0.54467,-0.19885,0.13494,-0.00237,0.00489,0.0114,-0.00897,0.06664,-0.03741,0.07284,1.47897,-0.91152,-0.00036,0.01566,-0.00222,-0.02337,0.05107,0.05345,0.03807,1.72492,0.68586,-0.0013,0.0273,0.00076,0.58529,0.56033,0.64753,14.03367,13.9571,15.78122,0.06933,0.06443,0.08375,0.40581,0.43694,0.53623,11.46627,11.8608,13.72565,0.05451,0.05501,0.06789,0.44741,0.534,0.4879,12.08378,13.53862,12.67919,0.05651,0.06578,0.05427,0.43301,0.51843,0.57876,12.049,13.78456,14.27657,0.05557,0.07741,0.05724,0.45638,0.46736,0.52532,12.01093,12.05965,13.59071,0.05687,0.05012,0.05648,False,04f790baf5a44f359a8b797be0550994,scene-0017
straight,0.19825,0.18067,0.1338,3.48515,3.34293,1.99138,0.02696,0.02566,0.04287,-0.04695,0.03339,0.02726,-1.36732,0.54848,0.67647,-0.0059,0.00222,0.02677,-0.04452,0.04227,-0.05751,-0.63828,0.83095,-1.32621,0.0003,0.00459,0.00164,-0.05578,0.04057,-0.05166,-1.2759,0.58638,-1.34898,-0.00305,0.00389,0.00035,0.67585,0.64533,0.74126,15.93068,15.60036,16.57466,0.0881,0.08276,0.10373,0.43066,0.49805,0.63472,11.07821,12.80591,15.25975,0.05524,0.05932,0.08763,0.43308,0.50693,0.54996,11.80725,13.08838,13.25707,0.06144,0.0617,0.06249,0.42182,0.50522,0.5558,11.16963,12.84381,13.2343,0.05809,0.061,0.06121,0.47761,0.46466,0.60746,12.44553,12.25743,14.58328,0.06114,0.05711,0.06086,False,b4bff2b0e4774147ac53fb96ff9317b5,scene-0017
straight,0.14948,0.12221,0.14238,2.93626,2.1905,2.65355,0.02509,0.02726,0.03176,-0.03042,0.01092,0.18833,-0.19885,0.13494,3.02803,0.00489,0.0114,0.03166,0.05274,-0.03741,-0.09034,1.65096,-0.91152,-1.54518,0.0241,-0.00222,-0.00552,0.05107,0.05345,-0.046,1.72492,0.68586,-0.79117,0.0273,0.00076,-0.00212,0.61684,0.64753,0.71776,14.9959,15.78122,16.9002,0.0752,0.08375,0.10462,0.43694,0.53623,0.7637,11.8608,13.72565,17.27468,0.05501,0.06789,0.10452,0.5201,0.4879,0.48504,13.71061,12.67919,12.70148,0.07422,0.05427,0.06734,0.51843,0.57876,0.52938,13.78456,14.27657,13.45548,0.07741,0.05724,0.07074,0.46736,0.52532,0.57538,12.05965,13.59071,14.24665,0.05012,0.05648,0.07286,False,3425c66163af46cca4c96006d425e0eb,scene-0017
