base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_selection_gap_L2@1s,got_selection_gap_L2@2s,got_selection_gap_L2@3s,got_selection_gap_avgL2@1s,got_selection_gap_avgL2@2s,got_selection_gap_avgL2@3s,got_selection_rank,got_selection_top1,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.4637,2.0732,1.6971,0.5153,1.102,1.3857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.4637,2.0732,1.6971,0.5153,1.102,1.5281,False,"[-0.1958, -0.1958, -0.1958, -0.3264, -1.9582, -0.1305, -0.6527, -0.0]","[-234.9683, -497.5367, -879.7465, -3695.8788, -3825.4237, -4657.8922, -5488.7401, -109488.3447]","[2.7665, 2.7515, -1000877.8753, -1003694.0, -1003823.5525, -1004656.0135, -1005486.8613, -1109486.4736]","[1.528, 1.67, 1.517, 2.474, 1.778, 1.622, 1.971, 5.147]",1.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5173,8.0,1.6028,2.0732,0.7767,0.9424,1.3156,1.5173,"[[3.115, 0.0], [6.541, 0.0], [9.396, -0.131], [12.823, -0.131], [15.393, -0.261], [19.961, -0.392]]",-1.1391,0.0,0.9205,-0.4271,-0.2135,0.0108,1.0,0.0,ok,5.1468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20a68f4f6d5e46edb6c4d9e8321ced5b,scene-0013,43
0.3143,2.2268,2.7786,0.2098,0.9588,1.7081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0353,2.2268,2.7786,0.0703,0.7482,1.5677,True,"[-0.1305, -0.1305, -1.5666, -0.0, -0.1305, -0.1958, -1.1749, -0.1305]","[-199.9719, -220.8322, -2693.038, -4704.4361, -14559.0256, -45891.0776, -160986.3882, -188094.6845]","[3.7765, 3.7762, -1002690.5259, -1004701.9241, -1014556.5136, -1045888.5656, -1160983.8762, -1188092.1724]","[1.568, 1.614, 1.849, 1.592, 2.88, 12.802, 4.438, 4.937]",3.5675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5677,8.0,0.0353,2.2268,2.7786,0.0703,0.7482,1.5677,"[[4.257, 0.0], [8.254, 0.0], [12.823, -0.131], [18.248, -0.131], [23.387, -0.131], [25.957, -0.261]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,12.8018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fde1435fa125431d9eb22d8e5e254a32,scene-0013,43
0.0254,0.0262,0.0271,0.0252,0.0256,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0254,0.0262,0.0271,0.0252,0.0256,0.026,False,"[-0.0, -0.0, -0.0, -0.0653, -0.4569, -0.9791, -0.6527, -0.5875]","[-0.013, -239.0088, -282.5679, -331.4439, -790.9293, -2705.5989, -238395.2611, -322062.3626]","[4.2427, 4.2407, 4.2384, 4.0537, 2.9441, -1002702.8986, -1238392.5608, -1322059.6643]","[0.026, 0.493, 0.667, 0.983, 1.068, 1.945, 11.908, 12.778]",5.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,8.0,0.0254,0.0262,0.0271,0.0252,0.0256,0.026,"[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,12.7782,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,43cfc03be6f842ae8942c995f8e3f2fb,scene-0014,43
1.0724,1.2884,0.4995,1.047,1.1064,0.8576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.0724,1.2884,2.7879,1.047,1.1064,1.4292,False,"[-0.0, -0.0, -0.0, -0.1305, -0.1305, -0.0, -0.0653, -0.5222]","[-88.424, -113.9701, -573.181, -192.7778, -479.9687, -1313.5528, -3777.4595, -5591.6009]","[3.9744, 3.9611, 3.7203, 3.1331, 2.9835, -1001310.9604, -1003774.8671, -1005589.01]","[1.429, 0.832, 1.212, 1.354, 1.834, 1.591, 1.614, 3.082]",0.6205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316,8.0,1.0724,1.2884,0.3438,1.047,1.1064,0.8316,"[[1.687, 0.0], [2.544, 0.0], [3.686, 0.0], [5.113, 0.0], [6.827, 0.261], [10.253, 0.0]]",0.0,0.0,2.4442,0.0,0.0,0.5976,3.0,0.0,ok,3.0825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3a1dd258a83f44b6bd97e8cc426d7057,scene-0014,43
2.4577,5.5045,10.4668,1.6421,3.3174,5.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,2.4577,5.5172,10.4668,1.6421,3.3206,5.1604,False,"[-0.3264, -0.3916, -0.3264, -1.5013, -0.3264, -1.2402, -0.5875, -0.9791]","[-82.992, -93.6545, -234.7347, -1066.2537, -1339.8834, -5230.6888, -8096.5532, -140382.3012]","[4.0787, 3.9296, 3.2808, -1001064.2702, -1001337.1053, -1005228.7053, -1008093.7751, -1140380.3177]","[5.16, 5.061, 5.064, 2.972, 5.224, 4.167, 5.497, 5.719]",0.8285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9724,8.0,1.8786,5.5172,1.3572,1.3526,3.1759,2.9724,"[[1.687, 0.0], [2.829, 0.0], [3.971, -0.131], [5.97, -0.261], [7.398, -0.653], [7.398, -0.653]]",0.5791,0.0,9.1095,0.2895,0.1448,2.188,4.0,0.0,ok,5.7189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510c3f937ce54fafa51f9c9f98f0a4a5,scene-0014,43
2.0291,4.5025,6.5273,1.3831,2.6272,3.7481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,2.0291,4.5025,7.0975,1.3831,2.5559,3.6535,True,"[-0.5222, -0.5222, -5.0262, -1.1097, -0.3916, -0.7833, -0.9138, -8.2899]","[-286.6121, -514.6543, -1607.2202, -5375.9811, -5838.6286, -8244.468, -11890.7238, -271882.4707]","[1.6621, 1.6128, -1001606.6039, -1005375.4115, -1005838.059, -1008243.8516, -1011890.1074, -1271881.9011]","[3.653, 3.323, 4.719, 3.885, 3.889, 3.313, 2.591, 8.301]",1.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5908,8.0,2.0291,4.5025,3.3022,1.3831,2.5559,2.5908,"[[2.829, 0.0], [5.113, -0.131], [7.683, -0.261], [9.682, -0.392], [13.108, -0.914], [14.822, -1.044]]",0.0,0.0,3.7953,0.0,0.0,1.0626,3.0,0.0,ok,8.3007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0afa886817744d61be66f0bcea2be47c,scene-0014,43
1.013,2.766,4.5811,0.6988,1.516,2.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.013,3.7039,3.1631,0.6988,2.0372,2.4296,False,"[-0.6527, -0.6527, -1.8277, -3.0026, -1.6319, -0.8486, -0.7833, -0.4569]","[-329.4755, -11.2538, -936.1388, -1635.7421, -4623.7812, -6220.7981, -17217.4383, -17706.8325]","[3.8229, 3.6922, -1000934.0447, -1001633.648, -1004621.51, -1006218.7039, -1017215.1671, -1017704.5613]","[2.43, 2.082, 2.379, 2.368, 3.284, 2.129, 2.956, 2.515]",0.3823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0821,8.0,1.013,2.766,3.1631,0.6988,1.516,2.0821,"[[3.115, 0.0], [5.97, -0.261], [7.398, -0.261], [10.253, 0.0], [13.965, -1.044], [17.391, -1.305]]",0.0,0.938,0.0,0.0,0.5212,0.3475,4.0,0.0,ok,3.2838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234b0f37af694571876a745e5bbb5e08,scene-0015,43
1.7865,3.5168,6.1426,1.1569,2.338,3.3821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,3.4967,5.2285,6.1482,2.583,3.479,4.1437,False,"[-0.2611, -0.2611, -0.3264, -0.5222, -0.0, -0.1305, -0.3264, -0.1305]","[-755.983, -318.1116, -246.2378, -2733.3572, -3795.901, -5696.2539, -7147.135, -11874.1721]","[4.4003, 2.2391, -1000244.8807, -1002732.0001, -1003792.267, -1005692.6198, -1007143.5009, -1011872.815]","[4.144, 3.668, 3.527, 4.244, 7.092, 4.379, 5.003, 4.431]",1.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5274,8.0,1.7865,5.2285,4.1662,1.1569,2.7659,3.5274,"[[4.828, 0.0], [9.682, 0.0], [12.537, -0.131], [16.82, -0.261], [18.819, -0.392], [21.96, -0.522]]",1.7102,0.0,1.982,1.4261,0.7131,0.6163,2.0,0.0,ok,7.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23e4bbcd10fe43e1982867dab19c79e8,scene-0015,43
0.5512,0.223,1.8815,0.4284,0.4175,0.7392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.5512,1.7801,1.8815,0.4284,0.8092,1.0002,False,"[-0.2611, -0.2611, -0.5875, -1.1097, -0.1305, -0.2611, -0.1958, -0.1305]","[-1339.5304, -4426.9826, -5143.7184, -5990.9305, -7055.2808, -12708.2643, -17829.6102, -29150.0118]","[-1001337.6274, -1004425.0796, -1005141.8154, -1005989.0275, -1007053.3778, -1012706.3612, -1017827.7071, -1029148.1088]","[1.0, 1.913, 1.121, 2.262, 1.663, 2.134, 1.852, 2.572]",0.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002,8.0,0.5512,1.7801,1.8815,0.4284,0.8092,1.0002,"[[2.258, 0.0], [4.542, -0.131], [6.827, -0.261], [6.827, -0.131], [10.253, -0.392], [11.966, -0.522]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,2.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b95702eac8684e80ab65303126cc1e58,scene-0015,43
0.9643,2.8163,4.1568,0.751,1.3378,2.1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6799,2.8163,5.3011,0.6088,1.3375,2.3182,False,"[-0.0653, -0.0653, -0.1305, -0.0653, -0.1958, -0.1958, -0.0653, -0.1958]","[-192.7543, -244.9531, -713.959, -1162.872, -1856.6179, -2660.0855, -10679.1802, -201516.3378]","[3.6005, 3.5777, -1000711.7369, -1001160.6279, -1001854.3958, -1002657.8414, -1010676.9581, -1201514.0937]","[2.318, 2.366, 1.669, 1.795, 1.345, 2.039, 2.429, 5.135]",1.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3454,8.0,0.9643,2.8163,1.959,0.751,1.4086,1.3454,"[[1.973, 0.0], [3.971, 0.0], [5.685, 0.0], [6.541, -0.131], [8.54, -0.131], [9.111, -0.131]]",-0.2844,0.0,3.342,-0.1422,-0.0711,0.9728,4.0,0.0,ok,5.1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cf753561271b4c40bef93a35bb0cf13f,scene-0015,43
0.223,1.3741,1.6776,0.1622,0.5543,0.8504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.223,1.5176,1.6776,0.1622,0.6549,0.9174,False,"[0.8486, 0.8486, -0.1305, 0.6527, -1.2402, 2.2193, -1.3708, 0.718]","[-593.6392, -27.3545, -2684.879, -5078.0729, -8240.3963, -8862.0041, -192400.3023, -1253926.2786]","[5.1936, 4.152, -1002680.6096, -1005074.8466, -1008237.17, -1008857.7347, -1192396.0329, -2253923.0523]","[0.917, 0.724, 1.708, 1.926, 1.67, 1.651, 11.655, 10.954]",4.2956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236,8.0,0.223,0.6131,1.6776,0.1622,0.3641,0.7236,"[[1.973, 0.0], [3.686, 0.0], [5.685, 0.131], [7.969, 1.436], [8.54, 0.914], [9.968, 1.697]]",0.0,0.9045,0.0,0.0,0.2908,0.1939,1.0,0.0,ok,11.6553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fbd3aa2098234fb1869d34d920e16eda,scene-0016,43
0.9055,2.8646,5.0148,0.6246,1.451,2.5015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.2081,3.1472,4.7311,0.2759,1.4177,2.3848,True,"[-0.3916, -0.3916, -0.8486, -0.3916, -0.1305, -0.5875, -0.5222, -7.3761]","[-307.9135, -436.2591, -401.7366, -401.072, -5554.9732, -5586.0635, -9896.333, -20027.7627]","[3.7408, 3.721, 3.5271, 3.1427, -1005553.0011, -1005583.5077, -1009894.3609, -1020025.7905]","[2.385, 3.01, 2.534, 2.331, 2.764, 1.467, 2.29, 4.946]",0.9418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4668,8.0,0.2081,3.1472,1.8508,0.2759,1.4177,1.4668,"[[2.544, 0.0], [5.97, 0.0], [7.398, -0.131], [9.682, -0.261], [12.537, -0.522], [15.393, -0.783]]",0.0,0.0,2.8803,0.0,0.0,0.918,3.0,0.0,ok,4.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35eff3f6f5b84929a33c2bda269a266f,scene-0016,43
