base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_selection_gap_L2@1s,got_selection_gap_L2@2s,got_selection_gap_L2@3s,got_selection_gap_avgL2@1s,got_selection_gap_avgL2@2s,got_selection_gap_avgL2@3s,got_selection_rank,got_selection_top1,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.4637,2.0732,1.6971,0.5153,1.102,1.3857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.0324,2.0732,1.6971,0.7997,1.2442,1.6229,False,"[-0.1958, -0.1958, -0.0, -0.3264, -1.436, -0.1958, -0.1305, -0.2611]","[-195.8539, -234.9683, -3879.2271, -3914.8807, -4183.9896, -4791.2349, -14794.7575, -375028.9296]","[3.1933, 3.1929, -1003876.7947, -1003912.4483, -1004181.5572, -1004788.8025, -1014792.3251, -1375026.4972]","[1.623, 1.528, 2.291, 2.39, 2.059, 3.163, 2.618, 6.992]",1.6474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5281,8.0,0.4637,2.0732,1.6971,0.5153,1.102,1.5281,"[[3.115, 0.0], [5.97, 0.0], [9.396, -0.131], [12.823, -0.131], [15.393, -0.261], [19.961, -0.392]]",0.5687,0.0,0.0,0.2844,0.1422,0.0948,1.0,0.0,ok,6.9924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20a68f4f6d5e46edb6c4d9e8321ced5b,scene-0013,44
0.3143,2.2268,2.7786,0.2098,0.9588,1.7081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.3143,2.2268,6.0471,0.3522,0.8892,2.3458,False,"[-0.0653, -0.1305, -0.1305, -0.1958, -0.7833, -0.1958, -0.9791, -0.2611]","[-73.9665, -220.8322, -223.9365, -932.3916, -1365.1528, -1884.5556, -3599.4171, -18811.8307]","[3.4547, 3.2256, 3.2251, 2.9013, -1001363.1257, -1001882.5285, -1003597.39, -1018809.8036]","[2.346, 1.614, 1.662, 1.052, 0.692, 1.965, 2.123, 3.375]",0.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6918,8.0,0.3143,2.2268,0.7641,0.2098,0.818,0.6918,"[[4.542, 0.0], [8.54, 0.0], [12.823, -0.131], [18.248, -0.131], [24.244, 0.0], [29.384, -0.131]]",0.0,0.0,5.283,0.1424,0.0712,1.6539,6.0,0.0,ok,3.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fde1435fa125431d9eb22d8e5e254a32,scene-0013,44
0.0254,0.0262,0.0271,0.0252,0.0256,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0254,0.0262,0.0271,0.0252,0.0256,0.026,False,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0653, -0.0, -0.2611]","[-0.013, -1.8392, -217.9518, -55.7905, -70.1393, -3276.1478, -9576.5244, -738376.2695]","[2.7786, 2.7786, 2.7777, 2.7776, 2.7775, -1003274.2295, -1009574.6068, -1738374.3519]","[0.026, 0.199, 0.438, 0.113, 0.152, 1.627, 1.104, 10.766]",3.4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,8.0,0.0254,0.0262,0.0271,0.0252,0.0256,0.026,"[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,10.7662,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,43cfc03be6f842ae8942c995f8e3f2fb,scene-0014,44
1.0724,1.2884,0.4995,1.047,1.1064,0.8576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.0724,1.2884,0.3438,1.047,1.1064,0.8316,True,"[-0.0, -0.1305, -0.1305, -0.3264, -0.5875, -0.0, -0.1958, -2.6763]","[-113.9701, -100.235, -242.8019, -188.7779, -103.1179, -840.9034, -1444.2231, -2444.5693]","[3.3457, 3.1238, 2.946, 2.8637, 2.6595, 2.3557, -1001442.1917, -1002442.6215]","[0.832, 1.81, 1.766, 1.618, 1.799, 1.069, 2.007, 2.655]",0.5232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316,8.0,1.0724,1.2884,0.3438,1.047,1.1064,0.8316,"[[1.687, 0.0], [2.544, 0.0], [3.686, 0.0], [5.113, 0.0], [5.685, 0.0], [7.398, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,2.6546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3a1dd258a83f44b6bd97e8cc426d7057,scene-0014,44
2.4577,5.5045,10.4668,1.6421,3.3174,5.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,2.4577,5.5172,11.1171,1.6421,3.3206,5.5551,False,"[-0.0, -0.3264, -0.3264, -0.3916, -0.2611, -0.3264, -0.4569, -0.6527]","[-477.4171, -82.992, -535.9706, -1959.2155, -2843.0996, -2868.9865, -20184.5828, -21891.2069]","[6.0788, 4.2266, 3.5809, -1001956.4105, -1002839.7019, -1002866.1815, -1020181.1851, -1021888.4019]","[5.555, 5.16, 5.019, 4.555, 5.802, 4.118, 4.629, 4.523]",0.5324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1176,8.0,2.4577,5.8161,7.9147,1.6421,3.1081,4.1176,"[[1.687, 0.0], [2.829, 0.0], [3.971, -0.131], [5.97, -0.261], [5.685, -0.522], [6.827, 0.0]]",0.0,-0.2989,3.2024,0.0,0.2125,1.4375,6.0,0.0,ok,5.8017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510c3f937ce54fafa51f9c9f98f0a4a5,scene-0014,44
2.0291,4.5025,6.5273,1.3831,2.6272,3.7481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.4581,4.5025,7.0975,0.9552,2.3419,3.5108,True,"[-0.5222, -0.5222, -0.718, -0.3264, -0.5222, -0.5875, -0.3916, -1.3708]","[-237.4952, -286.6121, -503.8754, -573.1091, -886.721, -1725.1931, -2396.9575, -1129682.518]","[3.0149, 3.0145, 2.3706, -1000570.7957, -1000884.4079, -1001722.88, -1002394.644, -2129680.2046]","[3.511, 3.653, 4.466, 2.051, 4.129, 3.762, 2.978, 11.453]",2.7164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.051,8.0,1.4581,4.5025,0.6222,0.9552,2.3419,2.051,"[[3.115, 0.0], [5.685, -0.131], [7.683, -0.261], [9.682, -0.392], [13.108, -0.914], [14.822, -1.044]]",0.0,0.0,6.4753,0.0,0.0,1.4598,2.0,0.0,ok,11.4526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0afa886817744d61be66f0bcea2be47c,scene-0014,44
1.013,2.766,4.5811,0.6988,1.516,2.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.013,2.766,3.1631,0.6988,1.516,2.0821,True,"[-0.6527, -0.9791, -0.6527, -1.6971, -0.718, -1.0444, -4.8303, -1.2402]","[-11.2538, -616.3713, -215.29, -1991.3913, -4925.3175, -7454.0798, -10408.262, -13279.6859]","[4.9972, 4.6203, 4.1624, -1001988.8387, -1004922.7649, -1007451.5272, -1010404.9176, -1013276.3415]","[2.082, 2.665, 1.752, 1.599, 1.625, 1.652, 3.362, 2.951]",0.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5994,8.0,1.013,1.6408,1.8604,0.6988,1.021,1.5994,"[[3.115, 0.0], [5.97, -0.261], [8.54, -0.392], [11.11, -0.653], [13.965, -1.044], [17.391, -1.305]]",0.0,1.1252,1.3028,0.0,0.495,0.4827,4.0,0.0,ok,3.3617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234b0f37af694571876a745e5bbb5e08,scene-0015,44
1.7865,3.5168,6.1426,1.1569,2.338,3.3821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.7865,5.2285,6.1482,1.1569,2.7659,3.6683,False,"[-0.2611, -0.2611, -0.0653, -0.0, -0.4569, -0.9138, -0.1305, -0.0]","[-318.1116, -1005.9707, -1054.686, -1706.275, -2797.8933, -3231.2877, -8380.7292, -47868.9217]","[0.8503, 0.7743, -1001054.3624, -1001705.9821, -1002797.6003, -1003230.9641, -1008380.4057, -1047868.6288]","[3.668, 3.811, 3.953, 5.968, 4.257, 4.553, 4.333, 5.049]",0.7062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6683,8.0,1.7865,5.2285,6.1482,1.1569,2.7659,3.6683,"[[3.686, 0.0], [7.969, -0.131], [12.537, -0.131], [16.82, -0.261], [18.819, -0.392], [21.96, -0.522]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,5.9677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23e4bbcd10fe43e1982867dab19c79e8,scene-0015,44
0.5512,0.223,1.8815,0.4284,0.4175,0.7392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.5512,3.2256,0.6048,0.4284,1.2301,1.3057,False,"[-0.0, -0.6527, -0.2611, -0.2611, -0.4569, -0.3264, -0.3264, -0.1958]","[-744.6969, -1243.633, -2367.3929, -4103.8905, -4993.8405, -68085.0906, -89897.2063, -104612.5563]","[-1000742.2107, -1001241.159, -1002364.9066, -1004101.4164, -1004991.3542, -1068082.6165, -1089894.7201, -1104610.0822]","[1.306, 1.634, 1.281, 1.328, 2.088, 3.425, 7.412, 4.557]",2.0393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2809,8.0,0.5512,3.2256,1.8815,0.4284,1.2301,1.2809,"[[2.258, 0.0], [4.542, -0.131], [5.399, -0.131], [5.399, 0.131], [8.825, -0.392], [13.394, 0.0]]",0.0,0.0,-1.2767,0.0,0.0,0.0248,1.0,0.0,ok,7.4116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b95702eac8684e80ab65303126cc1e58,scene-0015,44
0.9643,2.8163,4.1568,0.751,1.3378,2.1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1275,4.8184,7.5884,0.1902,1.6269,3.368,False,"[-0.0, -0.0653, -0.3916, -0.0653, -0.1305, -0.5875, -0.1305, -0.3264]","[-580.5662, -686.3516, -878.856, -2924.8472, -4091.4984, -5915.9885, -11065.2816, -32105.1152]","[4.1404, 3.7423, 2.0016, -1002922.4996, -1004089.1939, -1005913.6409, -1011062.934, -1032102.8107]","[3.368, 1.989, 1.947, 2.511, 1.464, 1.59, 2.141, 3.694]",0.7556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4635,8.0,0.9643,1.6855,0.6976,0.751,0.8431,1.4635,"[[2.258, 0.0], [4.542, 0.0], [5.685, -0.131], [4.542, 0.0], [5.685, -0.131], [6.827, 0.0]]",-0.8368,3.1328,6.8908,-0.5608,0.7837,1.9045,6.0,0.0,ok,3.6939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cf753561271b4c40bef93a35bb0cf13f,scene-0015,44
0.223,1.3741,1.6776,0.1622,0.5543,0.8504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.3281,0.6131,3.6543,0.2148,0.3904,1.248,False,"[1.2402, 1.1749, 0.8486, 0.8486, 0.0653, 0.7833, -0.718, 1.436]","[-243.3345, -380.6922, -117.6352, -356.567, -840.5503, -1555.8864, -145331.9811, -217891.9495]","[3.9068, 3.8067, 3.3182, 3.309, -1000838.0094, -1001553.3517, -1145329.4463, -1217889.4148]","[1.248, 0.631, 0.741, 0.86, 0.971, 0.958, 11.097, 12.944]",4.8399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6308,8.0,0.3281,0.6131,1.0576,0.2148,0.3904,0.6308,"[[1.973, 0.0], [3.971, 0.261], [5.113, 0.0], [6.827, 0.522], [10.253, 1.044], [13.108, 2.48]]",0.0,0.0,2.5967,0.0,0.0,0.6173,5.0,0.0,ok,12.9444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fbd3aa2098234fb1869d34d920e16eda,scene-0016,44
0.9055,2.8646,5.0148,0.6246,1.451,2.5015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.9055,3.1472,3.8952,0.6246,1.5921,2.3617,True,"[-0.1305, -0.3916, -0.3916, -0.4569, -1.7624, -0.8486, -0.9138, -0.3916]","[-53.958, -17.4547, -98.4407, -726.9942, -246.3569, -1352.9503, -6729.7876, -36669.855]","[4.2688, 3.7294, 3.7147, 3.5261, 0.8539, -1001350.2697, -1006727.0992, -1036667.1666]","[2.362, 2.501, 2.596, 3.542, 3.217, 3.112, 1.834, 3.116]",0.5215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8341,8.0,0.9055,3.1472,3.0289,0.6246,1.5921,1.8341,"[[2.544, 0.0], [5.113, -0.131], [7.398, -0.131], [9.682, -0.261], [12.537, -0.522], [16.535, 0.261]]",0.0,0.0,0.8663,0.0,0.0,0.5277,1.0,0.0,ok,3.5425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35eff3f6f5b84929a33c2bda269a266f,scene-0016,44
