command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_mirror_codebook_cosine_s0,delta_mirror_codebook_cosine_s1,delta_mirror_codebook_cosine_s2,delta_mirror_codebook_l2_s0,delta_mirror_codebook_l2_s1,delta_mirror_codebook_l2_s2,delta_mirror_pixel_mae_s0,delta_mirror_pixel_mae_s1,delta_mirror_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,mirror_codebook_cosine_s0,mirror_codebook_cosine_s1,mirror_codebook_cosine_s2,mirror_codebook_l2_s0,mirror_codebook_l2_s1,mirror_codebook_l2_s2,mirror_pixel_mae_s0,mirror_pixel_mae_s1,mirror_pixel_mae_s2,plan_ok,sample_token,scene
right,0.02658,0.03295,0.01831,1.55423,1.59048,1.07503,0.00652,0.00599,0.00588,-0.08204,-0.05918,-0.0598,-3.15867,-2.75378,-2.94607,-0.07334,-0.07153,-0.06677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10862,0.09213,0.07811,4.7129,4.34426,4.0211,0.07986,0.07753,0.07265,0.10862,0.09213,0.07811,4.7129,4.34426,4.0211,0.07986,0.07753,0.07265,False,0b2cbc6acdd255cb,2021.09.29.14.44.26_veh-28_00528_00992
right,0.55779,0.61841,0.71624,13.91537,14.88016,16.3837,0.09421,0.1,0.10357,0.0168,-0.04897,0.23332,-0.29727,-1.17968,3.27698,-0.01605,-0.03013,0.00328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54099,0.66738,0.48292,14.21264,16.05984,13.10672,0.11027,0.13013,0.10029,0.54099,0.66738,0.48292,14.21264,16.05984,13.10672,0.11027,0.13013,0.10029,False,3129ad6ef24f5de6,2021.09.09.17.18.51_veh-48_00657_00876
straight,0.49929,0.45799,0.54244,12.39504,11.29217,12.66495,0.06798,0.06871,0.0852,-0.16466,-0.11424,-0.08053,-2.6306,-2.58607,-1.76133,-0.04108,-0.03879,-0.03106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66394,0.57223,0.62297,15.02565,13.87824,14.42627,0.10906,0.1075,0.11626,0.66394,0.57223,0.62297,15.02565,13.87824,14.42627,0.10906,0.1075,0.11626,False,83d1d7a2715a5610,2021.05.25.15.59.03_veh-30_00625_00855
straight,0.75969,0.77754,0.81613,17.60222,17.50903,17.79827,0.16538,0.15321,0.16527,0.05412,-0.05719,0.077,1.27351,-0.7157,0.8081,0.01071,0.00419,0.01174,-0.06612,0.00767,0.19858,-0.9755,0.01795,2.24055,-0.01775,0.03413,0.02133,0.70556,0.83473,0.73912,16.32872,18.22473,16.99017,0.15466,0.14902,0.15353,0.63945,0.84239,0.93771,15.35322,18.24267,19.23072,0.13691,0.18315,0.17485,False,58d062b760cf5d0f,2021.10.06.07.26.10_veh-52_00422_00728
straight,0.05725,0.04992,0.01326,3.26303,2.62453,1.30077,0.00826,0.00637,0.00491,-0.03243,-0.04859,-0.10587,-1.55447,-2.68633,-4.64249,-0.04165,-0.04605,-0.05035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08968,0.0985,0.11913,4.8175,5.31086,5.94326,0.04991,0.05242,0.05525,0.08968,0.0985,0.11913,4.8175,5.31086,5.94326,0.04991,0.05242,0.05525,False,1ffa486a7c1f52a1,2021.05.25.14.16.10_veh-35_01690_02183
straight,0.02041,0.01956,0.04719,1.1336,1.44001,1.83138,0.00381,0.00393,0.00424,-0.10403,-0.19179,-0.06631,-3.89633,-6.24161,-2.56142,-0.04706,-0.05147,-0.04592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12443,0.21135,0.1135,5.02994,7.68162,4.39281,0.05087,0.0554,0.05016,0.12443,0.21135,0.1135,5.02994,7.68162,4.39281,0.05087,0.0554,0.05016,False,5abd4a898c6756fe,2021.09.09.14.18.22_veh-48_00322_00895
straight,0.50612,0.61804,0.61212,13.75595,15.00415,15.14441,0.07156,0.09138,0.09354,-0.03802,-0.04062,0.02548,-0.5623,-0.79835,0.06285,-0.01191,-0.01999,-0.00454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54415,0.65866,0.58664,14.31825,15.8025,15.08156,0.08347,0.11137,0.09808,0.54415,0.65866,0.58664,14.31825,15.8025,15.08156,0.08347,0.11137,0.09808,False,4b5bcacc18e35cf5,2021.09.09.18.04.06_veh-40_00555_00731
straight,0.79089,0.79745,0.70994,17.70257,17.34627,16.50084,0.12347,0.10998,0.11069,0.00346,0.15399,0.07481,0.53876,2.13356,1.10537,0.00297,-0.001,-0.00643,0.0169,0.24139,0.0,0.27581,3.29883,0.0,0.00137,0.02737,0.0,0.78743,0.64345,0.63514,17.16381,15.2127,15.39547,0.1205,0.11098,0.11712,0.80433,0.88484,0.63514,17.43963,18.51153,15.39547,0.12186,0.13836,0.11712,False,e54295c9eb395cbe,2021.09.29.19.02.14_veh-28_00540_00917
straight,0.48874,0.39019,0.45603,13.20457,11.46602,12.62514,0.06531,0.05688,0.06462,-0.14282,-0.01709,-0.19581,-2.41147,-0.26583,-3.43517,-0.01688,-0.01427,-0.02489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63156,0.40728,0.65184,15.61605,11.73185,16.06031,0.08219,0.07116,0.08951,0.63156,0.40728,0.65184,15.61605,11.73185,16.06031,0.08219,0.07116,0.08951,False,78a35f114b9353f7,2021.09.29.19.02.14_veh-28_00273_00514
straight,0.64336,0.65927,0.68795,16.12043,17.00696,17.5853,0.0865,0.10212,0.09031,-0.09082,-0.03471,0.03857,-1.83599,-0.34535,1.18071,-0.02122,-0.00783,-0.01525,0.02023,0.0,0.0,0.80667,0.0,0.0,0.0145,0.0,0.0,0.73418,0.69398,0.64938,17.95643,17.3523,16.40459,0.10771,0.10995,0.10556,0.75441,0.69398,0.64938,18.7631,17.3523,16.40459,0.12221,0.10995,0.10556,False,a2d64290027c5c45,2021.10.06.08.16.17_veh-52_01590_01725
straight,0.07805,0.12454,0.11622,2.84186,3.71692,3.45342,0.0099,0.01366,0.01145,-0.03948,-0.03211,-0.20157,-2.3597,-2.215,-6.79448,-0.05902,-0.05523,-0.07781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11752,0.15665,0.3178,5.20156,5.93193,10.2479,0.06892,0.06888,0.08926,0.11752,0.15665,0.3178,5.20156,5.93193,10.2479,0.06892,0.06888,0.08926,False,797a84da88bc5f60,2021.05.25.14.16.10_veh-35_00083_00485
left,0.82487,0.73778,0.80885,17.26199,16.19456,16.76973,0.11795,0.1187,0.12573,0.12918,-0.0035,0.02788,1.69176,-0.16386,0.12164,0.0025,-0.0357,-0.00407,0.19111,0.16316,0.08166,3.1305,1.71769,1.132,0.1042,0.02554,0.04866,0.69569,0.74129,0.78098,15.57023,16.35842,16.64809,0.11545,0.15439,0.1298,0.8868,0.90445,0.86264,18.70073,18.07611,17.78009,0.21964,0.17994,0.17846,False,ecb0ea4767e55b18,2021.06.03.12.02.06_veh-35_03526_03712
straight,0.58659,0.72952,0.73376,14.76496,17.04628,16.68289,0.11033,0.11587,0.11108,-0.08848,-0.03236,0.12344,-1.49912,-0.39256,1.65404,-0.01086,-0.01118,0.0124,0.0,-0.02872,0.14685,0.0,-0.07844,2.75758,0.0,0.01558,0.06144,0.67506,0.76188,0.61032,16.26408,17.43884,15.02885,0.1212,0.12705,0.09868,0.67506,0.73316,0.75716,16.26408,17.36039,17.78643,0.1212,0.14263,0.16012,False,2f2051bc964c5c08,2021.05.25.14.16.10_veh-35_03373_03550
