command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_plan_codebook_cosine_s0,delta_plan_codebook_cosine_s1,delta_plan_codebook_cosine_s2,delta_plan_codebook_l2_s0,delta_plan_codebook_l2_s1,delta_plan_codebook_l2_s2,delta_plan_pixel_mae_s0,delta_plan_pixel_mae_s1,delta_plan_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,plan_avgL2,plan_codebook_cosine_s0,plan_codebook_cosine_s1,plan_codebook_cosine_s2,plan_codebook_l2_s0,plan_codebook_l2_s1,plan_codebook_l2_s2,plan_ok,plan_pixel_mae_s0,plan_pixel_mae_s1,plan_pixel_mae_s2,plan_seg_err_s0,plan_seg_err_s1,plan_seg_err_s2,sample_token,scene
straight,0.82819,0.80494,0.68113,18.398,19.08964,16.88102,0.13841,0.19692,0.09186,0.19527,-0.0146,0.02128,3.10179,-0.85229,0.68449,0.05848,0.04121,0.01927,-0.05788,-0.03351,-0.02478,-0.89249,-0.63555,-0.12245,-0.00946,0.0066,-0.00133,0.63292,0.81954,0.65985,15.29622,19.94193,16.19653,0.07994,0.1557,0.07258,0.98818,0.57503,0.78603,0.63507,14.40373,19.30638,16.07408,True,0.07048,0.1623,0.07125,1.0682,0.92776,0.94932,5c561271e7f64c42bad8343eb42043e4,scene-0017
straight,0.79516,0.79136,0.57082,18.70861,19.26954,15.30381,0.15265,0.18632,0.08311,0.13456,0.1645,-0.04319,2.46633,2.03925,-0.5474,0.05544,0.07619,0.0111,0.09013,-0.02053,0.08212,0.92166,0.23094,1.06624,0.0165,0.02208,0.02266,0.6606,0.62687,0.61401,16.24228,17.23029,15.85121,0.09722,0.11013,0.072,2.95844,0.75073,0.60633,0.69613,17.16394,17.46124,16.91745,True,0.11372,0.13221,0.09467,3.12923,2.59936,4.74327,ddff867e8f5944869c55dfeca2151ba8,scene-0017
straight,0.80494,0.68113,0.62011,19.08964,16.88102,16.00959,0.19692,0.09186,0.08097,-0.0146,0.02128,0.03978,-0.85229,0.68449,1.04508,0.04121,0.01927,0.00531,-0.04294,0.00391,0.0716,-0.729,0.16643,1.51009,0.00224,-0.00288,0.01527,0.81954,0.65985,0.58033,19.94193,16.19653,14.96451,0.1557,0.07258,0.07565,1.27777,0.77659,0.66376,0.65193,19.21293,16.36296,16.47461,True,0.15794,0.0697,0.09093,0.20198,1.23162,2.43186,40847c1f1fd34cf2bdf278782dba841a,scene-0017
straight,0.79136,0.57082,0.5865,19.26954,15.30381,15.15409,0.18632,0.08311,0.07322,0.1645,-0.04319,0.07308,2.03925,-0.5474,1.57529,0.07619,0.0111,0.00613,0.00022,0.0589,0.22271,-0.80929,0.44012,3.6089,-0.03341,0.01583,0.03187,0.62687,0.61401,0.51342,17.23029,15.85121,13.5788,0.11013,0.072,0.06709,3.52788,0.62709,0.67291,0.73612,16.42101,16.29132,17.1877,True,0.07672,0.08783,0.09897,1.65928,4.23589,6.09238,3adeaa8b4f5f4b32a361534424ec6c71,scene-0017
straight,0.68113,0.62011,0.60569,16.88102,16.00959,14.90171,0.09186,0.08097,0.08839,0.04247,0.03978,-0.10794,0.76116,1.04508,-1.62608,0.01466,0.00531,0.01835,-0.00832,0.03587,-0.3411,-0.10724,1.13907,-5.61032,-0.00183,0.01762,-0.0214,0.63866,0.58033,0.71363,16.11986,14.96451,16.52779,0.07719,0.07565,0.07003,3.85552,0.63034,0.6162,0.37254,16.01262,16.10359,10.91748,True,0.07537,0.09327,0.04863,2.42539,4.52069,5.56722,6413a3e27b664997a08f7a0b82667d06,scene-0017
straight,0.57082,0.5865,0.59785,15.30381,15.15409,14.84978,0.08311,0.07322,0.08136,-0.05848,0.07308,-0.00524,-0.56589,1.57529,-0.35157,0.00712,0.00613,0.00722,-0.00345,0.05437,0.0864,0.15198,1.06053,0.87415,0.01365,0.00134,-0.0003,0.6293,0.51342,0.60309,15.86969,13.5788,15.20134,0.07598,0.06709,0.07414,2.41521,0.62584,0.56778,0.68949,16.02167,14.63934,16.07549,True,0.08963,0.06843,0.07384,1.38027,2.9194,4.07183,6609fa8733f14987ab840f3467c609e3,scene-0017
straight,0.62011,0.60569,0.56296,16.00959,14.90171,14.0598,0.08097,0.08839,0.05526,0.04861,-0.10794,-0.09892,1.27614,-1.62608,-1.31068,0.01319,0.01835,-0.00058,0.04647,-0.06225,-0.22455,1.27525,-0.81123,-3.43344,0.02623,-0.00155,-0.00759,0.5715,0.71363,0.66188,14.73345,16.52779,15.37048,0.06777,0.07003,0.05584,4.13591,0.61797,0.65138,0.43733,16.0087,15.71656,11.93704,True,0.09401,0.06849,0.04825,2.21574,4.77228,7.89412,ef03db0d15d241bf98a72fcdb87989e2,scene-0017
straight,0.5865,0.59785,0.56016,15.15409,14.84978,14.12259,0.07322,0.08136,0.05884,-0.05239,-0.00524,-0.16863,-0.996,-0.35157,-1.73059,0.00316,0.00722,-0.01183,0.06285,0.01281,-0.02823,0.71741,-0.35051,0.05221,0.02572,-0.0054,-0.00688,0.63889,0.60309,0.72879,16.15009,15.20134,15.85319,0.07006,0.07414,0.07067,2.84413,0.70174,0.6159,0.70055,16.8675,14.85083,15.90539,True,0.09578,0.06874,0.06378,1.64766,4.29511,4.82786,fbac9771eca241c4b18c195395d64e22,scene-0017
straight,0.60569,0.56296,0.50343,14.90171,14.0598,13.19143,0.08839,0.05526,0.06397,-0.07767,-0.09892,-0.03834,-1.19248,-1.31068,-0.33573,0.02104,-0.00058,0.00504,-0.01371,-0.03962,0.04664,-0.20446,-0.54146,0.64149,-0.00036,0.0015,0.00439,0.68336,0.66188,0.54177,16.09419,15.37048,13.52716,0.06735,0.05584,0.05893,2.93833,0.66966,0.62226,0.58841,15.88973,14.82902,14.16864,True,0.06699,0.05734,0.06332,1.05455,4.20075,4.65138,ef661945febb4f4b9f11bea17dd55c63,scene-0017
straight,0.59785,0.56016,0.5663,14.84978,14.12259,13.90371,0.08136,0.05884,0.07067,-0.00524,-0.16863,0.08862,-0.35157,-1.73059,1.81178,0.00722,-0.01183,0.01142,0.06637,0.00654,0.10939,0.66497,0.47702,1.52993,0.00114,0.03027,0.00911,0.60309,0.72879,0.47768,15.20134,15.85319,12.09193,0.07414,0.07067,0.05925,1.343,0.66946,0.73533,0.58707,15.86631,16.3302,13.62186,True,0.07528,0.10093,0.06836,2.06699,0.97778,2.26467,f274b48b3f8245669f97556d66ce468b,scene-0017
straight,0.56296,0.50343,0.60726,14.0598,13.19143,14.61797,0.05526,0.06397,0.06951,-0.0909,-0.03834,0.1399,-1.16705,-0.33573,2.55833,-0.00226,0.00504,0.01939,-0.0212,0.03548,0.0754,-0.1987,0.74251,1.66371,0.00078,0.00439,0.00559,0.65386,0.54177,0.46736,15.22686,13.52716,12.05965,0.05752,0.05893,0.05012,0.67199,0.63266,0.57725,0.54276,15.02816,14.26967,13.72335,True,0.0583,0.06332,0.05571,0.26074,0.55123,1.36588,dd8165825b8e4514aafd5b92fd9a3d6e,scene-0017
straight,0.56016,0.5663,0.53005,14.12259,13.90371,13.79644,0.05884,0.07067,0.06279,0.0677,0.08862,0.06539,1.29961,1.81178,1.53902,0.00756,0.01142,0.00569,0.02377,0.14501,0.1252,0.5011,2.93281,2.77126,0.00425,0.04194,0.01996,0.49246,0.47768,0.46466,12.82299,12.09193,12.25743,0.05128,0.05925,0.05711,1.77702,0.51623,0.62269,0.58986,13.32409,15.02474,15.02869,True,0.05553,0.10119,0.07706,0.69557,2.22056,3.1847,603304c79ec14a318fdb1c896b8aa43f,scene-0017
straight,0.50343,0.60726,0.59995,13.19143,14.61797,14.37068,0.06397,0.06951,0.06045,0.04705,0.1399,0.07464,1.18049,2.55833,0.77996,0.00709,0.01939,0.00396,0.07304,0.13272,0.00664,2.12724,2.4697,-0.03654,0.03875,0.01376,0.01384,0.45638,0.46736,0.52532,12.01093,12.05965,13.59071,0.05687,0.05012,0.05648,1.07233,0.52942,0.60008,0.53195,14.13817,14.52935,13.55418,True,0.09562,0.06387,0.07033,1.91373,0.77127,1.30202,04f790baf5a44f359a8b797be0550994,scene-0017
straight,0.5663,0.53005,0.5681,13.90371,13.79644,13.52628,0.07067,0.06279,0.07163,0.08869,0.06539,-0.03936,1.45817,1.53902,-1.057,0.00952,0.00569,0.01077,-0.04219,0.07084,0.13056,-1.09994,1.09813,2.04442,0.00058,0.00342,0.05291,0.47761,0.46466,0.60746,12.44553,12.25743,14.58328,0.06114,0.05711,0.06086,0.56414,0.43542,0.5355,0.73802,11.3456,13.35556,16.6277,True,0.06172,0.06052,0.11377,0.47837,0.52097,0.67115,b4bff2b0e4774147ac53fb96ff9317b5,scene-0017
straight,0.60726,0.59995,0.6028,14.61797,14.37068,14.42172,0.06951,0.06045,0.08372,0.1399,0.07464,0.02742,2.55833,0.77996,0.17507,0.01939,0.00396,0.01086,0.04805,-0.00078,-0.00121,1.03947,0.18052,-0.21989,0.00596,0.00348,0.00047,0.46736,0.52532,0.57538,12.05965,13.59071,14.24665,0.05012,0.05648,0.07286,1.6807,0.51541,0.52453,0.57417,13.09912,13.77123,14.02676,True,0.05607,0.05997,0.07333,0.53045,2.50055,2.69745,3425c66163af46cca4c96006d425e0eb,scene-0017
straight,0.53005,0.5681,0.62054,13.79644,13.52628,14.57618,0.06279,0.07163,0.08382,0.06539,-0.03936,-0.00225,1.53902,-1.057,-0.97063,0.00569,0.01077,0.00919,0.04922,-0.05837,-0.00672,0.58271,-0.48563,-0.4009,0.00455,-0.00036,-0.00415,0.46466,0.60746,0.62279,12.25743,14.58328,15.54681,0.05711,0.06086,0.07463,1.72308,0.51388,0.54909,0.61607,12.84014,14.09765,15.14591,True,0.06166,0.0605,0.07048,0.42061,0.21882,6.49394,cdc90732e957479da6c8a80c9fad6f78,scene-0017
straight,0.59995,0.6028,0.61648,14.37068,14.42172,15.11273,0.06045,0.08372,0.07514,0.07464,0.02742,0.22719,0.77996,0.17507,3.52888,0.00396,0.01086,0.01882,-0.04369,0.09994,0.36863,-0.98421,1.84905,5.8692,-0.00575,0.02042,0.0431,0.52532,0.57538,0.38929,13.59071,14.24665,11.58385,0.05648,0.07286,0.05632,0.63944,0.48162,0.67531,0.75792,12.6065,16.0957,17.45305,True,0.05074,0.09328,0.09942,0.056,0.71703,1.67364,8b66733250b94940b0e7477c8b182512,scene-0017
straight,0.5681,0.62054,0.66933,13.52628,14.57618,16.09244,0.07163,0.08382,0.07397,-0.03936,-0.00225,0.24093,-1.057,-0.97063,4.73076,0.01077,0.00919,0.00931,-0.02582,0.05132,0.25225,-0.76274,0.54472,4.5144,0.00969,0.00029,0.002,0.60746,0.62279,0.4284,14.58328,15.54681,11.36167,0.06086,0.07463,0.06467,0.67626,0.58164,0.67411,0.68065,13.82054,16.09153,15.87607,True,0.07054,0.07492,0.06667,0.9662,0.54127,0.26984,3d9f13edf73c4e25a484253ebf80f222,scene-0017
straight,0.6028,0.61648,0.67645,14.42172,15.11273,16.27853,0.08372,0.07514,0.07171,0.02742,0.22719,0.01565,0.17507,3.52888,0.65376,0.01086,0.01882,0.00275,0.00258,0.01439,0.04719,0.17855,0.15999,1.2429,-0.00037,-0.00114,0.0294,0.57538,0.38929,0.66079,14.24665,11.58385,15.62477,0.07286,0.05632,0.06896,1.1937,0.57796,0.40368,0.70798,14.42521,11.74384,16.86767,True,0.07249,0.05518,0.09836,0.97148,1.44083,1.47458,2a271f85c90a45a9a6f33d9cc281943e,scene-0017
straight,0.62054,0.66933,0.73145,14.57618,16.09244,16.7025,0.08382,0.07397,0.07905,-0.00225,0.24093,0.27473,-0.97063,4.73076,3.93309,0.00919,0.00931,0.01422,-0.01152,0.17607,0.06648,-0.09422,3.67049,0.64081,0.00603,-0.00159,0.00718,0.62279,0.4284,0.45672,15.54681,11.36167,12.76941,0.07463,0.06467,0.06483,0.90216,0.61127,0.60447,0.5232,15.45259,15.03216,13.41022,True,0.08066,0.06308,0.07201,0.73919,0.95606,1.38117,9a476217cc324813a5760c9852643324,scene-0017
straight,0.61648,0.67645,0.68937,15.11273,16.27853,16.3372,0.07514,0.07171,0.08365,0.05044,0.01565,-0.00028,0.75255,0.65376,0.33116,0.00693,0.00275,0.00851,0.0,0.05395,0.09158,0.0,0.93477,1.64206,0.0,0.00482,0.0122,0.56604,0.66079,0.68965,14.36018,15.62477,16.00604,0.0682,0.06896,0.07514,0.97317,0.56604,0.71475,0.78123,14.36018,16.55954,17.6481,True,0.0682,0.07378,0.08734,0.07861,0.62317,2.66766,657b2fe881834950a629c05285b2055a,scene-0017
straight,0.66933,0.73145,0.74335,16.09244,16.7025,16.8966,0.07397,0.07905,0.08254,0.02772,0.27473,0.20534,0.81423,3.93309,3.44508,0.00822,0.01422,0.00986,0.0,0.09694,0.2205,0.0,0.90697,4.09203,0.0,0.00501,0.00999,0.64161,0.45672,0.53801,15.2782,12.76941,13.45152,0.06575,0.06483,0.07268,0.63912,0.64161,0.55366,0.75851,15.2782,13.67638,17.54355,True,0.06575,0.06984,0.08267,0.06879,0.49962,1.6474,a7eee1088f4a43f4b1c49324e4a6803e,scene-0017
straight,0.67645,0.68937,0.72228,16.27853,16.3372,16.72188,0.07171,0.08365,0.08977,0.01565,-0.00028,0.24523,0.65376,0.33116,3.55446,0.00275,0.00851,0.00734,-0.01606,0.02839,0.24508,-0.2866,1.07099,3.68067,-0.00041,0.00768,0.00936,0.66079,0.68965,0.47706,15.62477,16.00604,13.16742,0.06896,0.07514,0.08243,1.18435,0.64473,0.71804,0.72214,15.33817,17.07703,16.84809,True,0.06855,0.08282,0.0918,0.24208,0.88999,2.9528,93d25b8eaa46429a997327e6e333f627,scene-0017
straight,0.73145,0.74335,0.75994,16.7025,16.8966,17.53967,0.07905,0.08254,0.09095,0.22533,0.20534,0.01669,3.86466,3.44508,0.203,0.01597,0.00986,0.00121,-0.0494,0.19127,0.06839,-0.06843,3.22689,0.7228,0.00174,0.02091,0.03,0.50612,0.53801,0.74325,12.83784,13.45152,17.33668,0.06308,0.07268,0.08974,1.25611,0.45672,0.72929,0.81163,12.76941,16.67841,18.05948,True,0.06483,0.09359,0.11974,0.14006,1.8144,2.80766,ce130b56a60242dfb4369eb62bac9478,scene-0017
straight,0.68937,0.72228,0.72345,16.3372,16.72188,17.08523,0.08365,0.08977,0.09023,-0.00028,0.24523,0.1685,0.33116,3.55446,2.76326,0.00851,0.00734,0.00372,-0.25775,0.30585,0.24002,-3.71804,4.69414,4.65091,-0.01061,0.0313,0.04496,0.68965,0.47706,0.55495,16.00604,13.16742,14.32197,0.07514,0.08243,0.08652,2.11003,0.4319,0.78291,0.79497,12.288,17.86156,18.97288,True,0.06453,0.11373,0.13148,0.58087,1.83463,4.1726,789b705cdbcd4e5bb43812186d612d7d,scene-0017
straight,0.74335,0.75994,0.55139,16.8966,17.53967,14.13307,0.08254,0.09095,0.07509,0.20534,0.01669,0.03273,3.44508,0.203,0.31923,0.00986,0.00121,-0.01081,0.26785,0.06882,0.29945,4.22559,1.51347,5.14274,0.01666,0.03378,0.03849,0.53801,0.74325,0.51867,13.45152,17.33668,13.81384,0.07268,0.08974,0.0859,1.33572,0.80586,0.81207,0.81811,17.67711,18.85014,18.95658,True,0.08935,0.12351,0.12439,0.36715,1.23855,2.93528,43357fafe91d4c018e42f07f16fc383c,scene-0017
straight,0.72228,0.72345,0.33508,16.72188,17.08523,10.23419,0.08977,0.09023,0.05709,-0.00817,0.1685,0.02707,-0.29648,2.76326,-0.12949,0.00631,0.00372,-0.01351,0.06885,0.28447,0.50088,0.96896,4.64794,7.94715,0.02615,0.04469,0.05874,0.73046,0.55495,0.30801,17.01836,14.32197,10.36368,0.08346,0.08652,0.0706,3.49083,0.79931,0.83942,0.80889,17.98732,18.96991,18.31083,True,0.10961,0.13121,0.12934,1.47646,3.40624,6.40932,470df44aab6241f4843137efa2e55b85,scene-0017
straight,0.75994,0.55139,0.21428,17.53967,14.13307,7.25886,0.09095,0.07509,0.03582,0.01669,0.03273,-0.13336,0.203,0.31923,-3.81755,0.00121,-0.01081,-0.03328,-0.00973,0.33148,0.49166,0.36751,5.50163,7.57314,0.0071,0.03781,0.06669,0.74325,0.51867,0.34764,17.33668,13.81384,11.07641,0.08974,0.0859,0.0691,2.9727,0.73352,0.85014,0.83931,17.70419,19.31548,18.64955,True,0.09684,0.12371,0.13579,1.20057,3.77568,5.64147,14684fc1b81a43888b992d553add01cf,scene-0017
straight,0.81668,0.77064,0.77468,17.97147,17.1496,16.85428,0.10822,0.0993,0.09663,0.03831,0.17352,0.12284,0.08998,3.03975,1.79724,-0.00896,0.031,0.02456,-0.00347,0.11144,0.1301,0.30548,2.03236,2.08909,0.03772,0.01157,0.0146,0.77836,0.59712,0.65183,17.88149,14.10985,15.05705,0.11719,0.0683,0.07208,1.10539,0.7749,0.70856,0.78193,18.18697,16.14221,17.14614,True,0.15491,0.07988,0.08667,1.05083,1.12629,0.59188,f0e4797551024f9487a016ee9d9e29e1,scene-0018
straight,0.78268,0.72514,0.79998,17.42607,16.12379,17.06702,0.10253,0.09602,0.09999,-0.01612,0.14248,0.19768,-0.20125,2.29455,2.22753,0.00143,0.023,0.0189,-0.07309,0.14766,0.20702,-1.01074,2.32239,2.93945,-0.00998,0.01246,0.02791,0.7988,0.58265,0.60231,17.62731,13.82925,14.83949,0.1011,0.07302,0.08109,0.99226,0.72571,0.73032,0.80933,16.61657,16.15163,17.77894,True,0.09112,0.08548,0.109,0.52242,1.57896,0.85263,6cc2a560dacc42149e0780bfb6efe682,scene-0018
straight,0.77064,0.77468,0.87975,17.1496,16.85428,18.29388,0.0993,0.09663,0.09248,0.17352,0.12284,0.45823,3.03975,1.79724,6.88074,0.031,0.02456,0.02621,0.12975,0.1068,0.05789,2.13358,2.09934,1.1692,0.01291,0.02892,0.00493,0.59712,0.65183,0.42152,14.10985,15.05705,11.41314,0.0683,0.07208,0.06627,2.53294,0.72687,0.75863,0.47941,16.24343,17.15639,12.58234,True,0.08121,0.101,0.0712,0.89617,1.81396,6.59095,b78605983b3543a1a70df4b3805e4dfc,scene-0018
straight,0.72514,0.79998,0.79616,16.12379,17.06702,17.24114,0.09602,0.09999,0.09413,0.14248,0.19768,0.24997,2.29455,2.22753,4.12861,0.023,0.0189,0.01497,0.07581,-0.0385,0.16237,1.16983,-0.59058,3.15145,0.00139,-0.00323,0.0183,0.58265,0.60231,0.54619,13.82925,14.83949,13.11252,0.07302,0.08109,0.07915,2.34289,0.65847,0.5638,0.70856,14.99907,14.24891,16.26397,True,0.07441,0.07786,0.09746,1.27253,2.0022,5.08671,f6486e3c8a90429dbf1d3d66a91239d3,scene-0018
straight,0.77468,0.87975,0.82538,16.85428,18.29388,17.51264,0.09663,0.09248,0.09232,0.19044,0.45823,0.2056,3.03679,6.88074,2.95376,0.0288,0.02621,0.01579,-0.02729,0.28339,0.09915,0.21048,4.73428,1.86162,0.00135,0.03701,0.01424,0.58424,0.42152,0.61977,13.81749,11.41314,14.55889,0.06783,0.06627,0.07653,1.68032,0.55695,0.70491,0.71892,14.02798,16.14742,16.4205,True,0.06919,0.10328,0.09077,0.81001,1.65112,2.70264,248f5231a8c94b5da0b58e515ad68298,scene-0018
straight,0.79998,0.79616,0.80442,17.06702,17.24114,17.32343,0.09999,0.09413,0.0916,0.22099,0.24997,0.33944,3.06856,4.12861,5.35446,0.02239,0.01497,0.02867,-0.00688,0.27342,0.38101,0.68536,4.4981,7.63296,0.01266,0.03892,0.11524,0.57899,0.54619,0.46498,13.99846,13.11252,11.96898,0.0776,0.07915,0.06293,1.72898,0.57211,0.81961,0.84599,14.68382,17.61062,19.60194,True,0.09027,0.11807,0.17816,0.98913,2.45429,2.92802,06cc9133c0684cf2b676cf5f7c49e88b,scene-0018
