command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_mirror_codebook_cosine_s0,delta_mirror_codebook_cosine_s1,delta_mirror_codebook_cosine_s2,delta_mirror_codebook_l2_s0,delta_mirror_codebook_l2_s1,delta_mirror_codebook_l2_s2,delta_mirror_pixel_mae_s0,delta_mirror_pixel_mae_s1,delta_mirror_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,mirror_codebook_cosine_s0,mirror_codebook_cosine_s1,mirror_codebook_cosine_s2,mirror_codebook_l2_s0,mirror_codebook_l2_s1,mirror_codebook_l2_s2,mirror_pixel_mae_s0,mirror_pixel_mae_s1,mirror_pixel_mae_s2,plan_ok,sample_token,scene
straight,0.82819,0.80494,0.68113,18.398,19.08964,16.88102,0.13841,0.19692,0.09186,0.19527,-0.0146,0.02128,3.10179,-0.85229,0.68449,0.05848,0.04121,0.01927,0.0,0.0,-0.00104,0.0,0.0,-0.12854,0.0,0.0,0.01317,0.63292,0.81954,0.65985,15.29622,19.94193,16.19653,0.07994,0.1557,0.07258,0.63292,0.81954,0.65881,15.29622,19.94193,16.06799,0.07994,0.1557,0.08575,False,5c561271e7f64c42bad8343eb42043e4,scene-0017
straight,0.79516,0.79136,0.57082,18.70861,19.26954,15.30381,0.15265,0.18632,0.08311,0.13456,0.1645,-0.04319,2.46633,2.03925,-0.5474,0.05544,0.07619,0.0111,0.0,-0.04748,0.08378,0.0,1.20619,0.96362,0.0,0.07781,0.03137,0.6606,0.62687,0.61401,16.24228,17.23029,15.85121,0.09722,0.11013,0.072,0.6606,0.57939,0.69779,16.24228,18.43648,16.81482,0.09722,0.18794,0.10337,False,ddff867e8f5944869c55dfeca2151ba8,scene-0017
straight,0.80494,0.68113,0.62011,19.08964,16.88102,16.00959,0.19692,0.09186,0.08097,-0.0146,0.02128,0.03978,-0.85229,0.68449,1.04508,0.04121,0.01927,0.00531,0.0,-0.00104,0.11674,0.0,-0.12854,2.16661,0.0,0.01317,0.02889,0.81954,0.65985,0.58033,19.94193,16.19653,14.96451,0.1557,0.07258,0.07565,0.81954,0.65881,0.69707,19.94193,16.06799,17.13112,0.1557,0.08575,0.10455,False,40847c1f1fd34cf2bdf278782dba841a,scene-0017
straight,0.79136,0.57082,0.5865,19.26954,15.30381,15.15409,0.18632,0.08311,0.07322,0.1645,-0.04319,0.07308,2.03925,-0.5474,1.57529,0.07619,0.0111,0.00613,-0.04748,0.08378,0.13073,1.20619,0.96362,2.89202,0.07781,0.03137,0.02179,0.62687,0.61401,0.51342,17.23029,15.85121,13.5788,0.11013,0.072,0.06709,0.57939,0.69779,0.64414,18.43648,16.81482,16.47083,0.18794,0.10337,0.08888,False,3adeaa8b4f5f4b32a361534424ec6c71,scene-0017
straight,0.68113,0.62011,0.60569,16.88102,16.00959,14.90171,0.09186,0.08097,0.08839,0.04247,0.03978,-0.10794,0.76116,1.04508,-1.62608,0.01466,0.00531,0.01835,-0.03157,0.11674,0.0,0.45589,2.16661,0.0,0.04019,0.02889,0.0,0.63866,0.58033,0.71363,16.11986,14.96451,16.52779,0.07719,0.07565,0.07003,0.60709,0.69707,0.71363,16.57576,17.13112,16.52779,0.11738,0.10455,0.07003,False,6413a3e27b664997a08f7a0b82667d06,scene-0017
straight,0.57082,0.5865,0.59785,15.30381,15.15409,14.84978,0.08311,0.07322,0.08136,-0.05848,0.07308,-0.00524,-0.56589,1.57529,-0.35157,0.00712,0.00613,0.00722,0.04218,0.13073,-0.09758,0.38441,2.89202,-2.42183,0.0142,0.02179,-0.01631,0.6293,0.51342,0.60309,15.86969,13.5788,15.20134,0.07598,0.06709,0.07414,0.67147,0.64414,0.50551,16.2541,16.47083,12.77952,0.09018,0.08888,0.05784,False,6609fa8733f14987ab840f3467c609e3,scene-0017
straight,0.62011,0.60569,0.56296,16.00959,14.90171,14.0598,0.08097,0.08839,0.05526,0.04861,-0.10794,-0.09892,1.27614,-1.62608,-1.31068,0.01319,0.01835,-0.00058,0.12428,0.0,0.01693,2.14,0.0,0.44042,0.02867,0.0,0.0204,0.5715,0.71363,0.66188,14.73345,16.52779,15.37048,0.06777,0.07003,0.05584,0.69578,0.71363,0.67881,16.87345,16.52779,15.8109,0.09644,0.07003,0.07623,False,ef03db0d15d241bf98a72fcdb87989e2,scene-0017
straight,0.5865,0.59785,0.56016,15.15409,14.84978,14.12259,0.07322,0.08136,0.05884,-0.05239,-0.00524,-0.16863,-0.996,-0.35157,-1.73059,0.00316,0.00722,-0.01183,0.03046,-0.09758,-0.02389,0.50954,-2.42183,-0.03615,0.01796,-0.01631,0.01663,0.63889,0.60309,0.72879,16.15009,15.20134,15.85319,0.07006,0.07414,0.07067,0.66935,0.50551,0.7049,16.65964,12.77952,15.81704,0.08802,0.05784,0.0873,False,fbac9771eca241c4b18c195395d64e22,scene-0017
straight,0.60569,0.56296,0.50343,14.90171,14.0598,13.19143,0.08839,0.05526,0.06397,-0.07767,-0.09892,-0.03834,-1.19248,-1.31068,-0.33573,0.02104,-0.00058,0.00504,-0.21379,0.01693,0.1128,-3.37622,0.44042,1.59851,-0.01578,0.0204,0.01195,0.68336,0.66188,0.54177,16.09419,15.37048,13.52716,0.06735,0.05584,0.05893,0.46957,0.67881,0.65457,12.71797,15.8109,15.12567,0.05157,0.07623,0.07087,False,ef661945febb4f4b9f11bea17dd55c63,scene-0017
straight,0.59785,0.56016,0.5663,14.84978,14.12259,13.90371,0.08136,0.05884,0.07067,-0.00524,-0.16863,0.08862,-0.35157,-1.73059,1.81178,0.00722,-0.01183,0.01142,-0.09758,-0.02389,0.19487,-2.42183,-0.03615,3.5241,-0.01631,0.01663,0.02548,0.60309,0.72879,0.47768,15.20134,15.85319,12.09193,0.07414,0.07067,0.05925,0.50551,0.7049,0.67255,12.77952,15.81704,15.61603,0.05784,0.0873,0.08473,False,f274b48b3f8245669f97556d66ce468b,scene-0017
straight,0.56296,0.50343,0.60726,14.0598,13.19143,14.61797,0.05526,0.06397,0.06951,-0.0909,-0.03834,0.1399,-1.16705,-0.33573,2.55833,-0.00226,0.00504,0.01939,-0.01969,0.1128,0.04108,-0.07912,1.59851,1.45084,0.01017,0.01195,0.0392,0.65386,0.54177,0.46736,15.22686,13.52716,12.05965,0.05752,0.05893,0.05012,0.63417,0.65457,0.50844,15.14773,15.12567,13.51049,0.06769,0.07087,0.08931,False,dd8165825b8e4514aafd5b92fd9a3d6e,scene-0017
straight,0.56016,0.5663,0.53005,14.12259,13.90371,13.79644,0.05884,0.07067,0.06279,0.0677,0.08862,0.06539,1.29961,1.81178,1.53902,0.00756,0.01142,0.00569,0.18574,0.19487,0.0,2.82538,3.5241,0.0,0.03519,0.02548,0.0,0.49246,0.47768,0.46466,12.82299,12.09193,12.25743,0.05128,0.05925,0.05711,0.6782,0.67255,0.46466,15.64837,15.61603,12.25743,0.08647,0.08473,0.05711,False,603304c79ec14a318fdb1c896b8aa43f,scene-0017
straight,0.50343,0.60726,0.59995,13.19143,14.61797,14.37068,0.06397,0.06951,0.06045,0.04705,0.1399,0.07464,1.18049,2.55833,0.77996,0.00709,0.01939,0.00396,-0.04458,0.04108,0.0,-0.45545,1.45084,0.0,-0.00254,0.0392,0.0,0.45638,0.46736,0.52532,12.01093,12.05965,13.59071,0.05687,0.05012,0.05648,0.4118,0.50844,0.52532,11.55548,13.51049,13.59071,0.05433,0.08931,0.05648,False,04f790baf5a44f359a8b797be0550994,scene-0017
straight,0.5663,0.53005,0.5681,13.90371,13.79644,13.52628,0.07067,0.06279,0.07163,0.08869,0.06539,-0.03936,1.45817,1.53902,-1.057,0.00952,0.00569,0.01077,0.14752,0.0,0.0,1.89962,0.0,0.0,0.01535,0.0,0.0,0.47761,0.46466,0.60746,12.44553,12.25743,14.58328,0.06114,0.05711,0.06086,0.62513,0.46466,0.60746,14.34516,12.25743,14.58328,0.07649,0.05711,0.06086,False,b4bff2b0e4774147ac53fb96ff9317b5,scene-0017
straight,0.60726,0.59995,0.6028,14.61797,14.37068,14.42172,0.06951,0.06045,0.08372,0.1399,0.07464,0.02742,2.55833,0.77996,0.17507,0.01939,0.00396,0.01086,0.04108,0.0,0.0,1.45084,0.0,0.0,0.0392,0.0,0.0,0.46736,0.52532,0.57538,12.05965,13.59071,14.24665,0.05012,0.05648,0.07286,0.50844,0.52532,0.57538,13.51049,13.59071,14.24665,0.08931,0.05648,0.07286,False,3425c66163af46cca4c96006d425e0eb,scene-0017
straight,0.53005,0.5681,0.62054,13.79644,13.52628,14.57618,0.06279,0.07163,0.08382,0.06539,-0.03936,-0.00225,1.53902,-1.057,-0.97063,0.00569,0.01077,0.00919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46466,0.60746,0.62279,12.25743,14.58328,15.54681,0.05711,0.06086,0.07463,0.46466,0.60746,0.62279,12.25743,14.58328,15.54681,0.05711,0.06086,0.07463,False,cdc90732e957479da6c8a80c9fad6f78,scene-0017
straight,0.59995,0.6028,0.61648,14.37068,14.42172,15.11273,0.06045,0.08372,0.07514,0.07464,0.02742,0.22719,0.77996,0.17507,3.52888,0.00396,0.01086,0.01882,0.0,0.0,0.18515,0.0,0.0,2.51952,0.0,0.0,0.00853,0.52532,0.57538,0.38929,13.59071,14.24665,11.58385,0.05648,0.07286,0.05632,0.52532,0.57538,0.57444,13.59071,14.24665,14.10337,0.05648,0.07286,0.06485,False,8b66733250b94940b0e7477c8b182512,scene-0017
straight,0.5681,0.62054,0.66933,13.52628,14.57618,16.09244,0.07163,0.08382,0.07397,-0.03936,-0.00225,0.24093,-1.057,-0.97063,4.73076,0.01077,0.00919,0.00931,0.0,0.0,0.22778,0.0,0.0,4.26877,0.0,0.0,0.00744,0.60746,0.62279,0.4284,14.58328,15.54681,11.36167,0.06086,0.07463,0.06467,0.60746,0.62279,0.65617,14.58328,15.54681,15.63044,0.06086,0.07463,0.0721,False,3d9f13edf73c4e25a484253ebf80f222,scene-0017
straight,0.6028,0.61648,0.67645,14.42172,15.11273,16.27853,0.08372,0.07514,0.07171,0.02742,0.22719,0.01565,0.17507,3.52888,0.65376,0.01086,0.01882,0.00275,0.0,0.18515,-0.02689,0.0,2.51952,-0.20188,0.0,0.00853,0.00386,0.57538,0.38929,0.66079,14.24665,11.58385,15.62477,0.07286,0.05632,0.06896,0.57538,0.57444,0.6339,14.24665,14.10337,15.42289,0.07286,0.06485,0.07282,False,2a271f85c90a45a9a6f33d9cc281943e,scene-0017
straight,0.62054,0.66933,0.73145,14.57618,16.09244,16.7025,0.08382,0.07397,0.07905,-0.00225,0.24093,0.27473,-0.97063,4.73076,3.93309,0.00919,0.00931,0.01422,0.0,0.22778,0.28847,0.0,4.26877,3.98484,0.0,0.00744,0.02121,0.62279,0.4284,0.45672,15.54681,11.36167,12.76941,0.07463,0.06467,0.06483,0.62279,0.65617,0.74519,15.54681,15.63044,16.75426,0.07463,0.0721,0.08604,False,9a476217cc324813a5760c9852643324,scene-0017
